Order Date,Sales         
11/8/16,261.96         
11/8/16,731.94         
6/12/16,14.62         
10/11/15,957.5775         
10/11/15,22.368         
6/9/14,48.86         
6/9/14,7.28         
6/9/14,907.152         
6/9/14,18.504         
6/9/14,114.9         
6/9/14,1706.184         
6/9/14,911.424         
4/15/17,15.552         
12/5/16,407.976         
11/22/15,68.81         
11/22/15,2.544         
11/11/14,665.88         
5/13/14,55.5         
8/27/14,8.56         
8/27/14,213.48         
8/27/14,22.72         
12/9/16,19.46         
12/9/16,60.34         
7/16/17,71.372         
9/25/15,1044.63         
1/16/16,11.648         
1/16/16,90.57         
9/17/15,3083.43         
9/17/15,9.618         
9/17/15,124.2         
9/17/15,3.264         
9/17/15,86.304         
9/17/15,6.858         
9/17/15,15.76         
10/19/17,29.472         
12/8/16,1097.544         
12/8/16,190.92         
12/27/15,113.328         
12/27/15,532.3992         
12/27/15,212.058         
12/27/15,371.168         
9/10/17,147.168         
7/17/16,77.88         
9/19/17,95.616         
3/11/16,45.98         
3/11/16,17.46         
10/20/14,211.96         
6/20/16,45         
6/20/16,21.8         
4/18/15,38.22         
4/18/15,75.18         
4/18/15,6.16         
4/18/15,89.99         
12/11/16,15.26         
12/11/16,1029.95         
6/17/16,208.56         
6/17/16,32.4         
6/17/16,319.41         
6/17/16,14.56         
6/17/16,30         
6/17/16,48.48         
6/17/16,1.68         
11/24/15,13.98         
11/24/15,25.824         
11/24/15,146.73         
11/24/15,79.76         
4/30/15,213.115         
12/5/14,1113.024         
12/5/14,167.968         
6/4/16,75.88         
9/18/16,4.616         
9/14/17,19.05         
4/26/15,831.936         
4/26/15,97.04         
4/26/15,72.784         
12/9/17,1.248         
12/9/17,9.708         
12/9/17,27.24         
11/26/14,19.3         
6/12/16,208.16         
6/12/16,16.74         
10/12/14,14.9         
10/12/14,21.39         
9/3/15,200.984         
11/13/17,230.376         
5/28/17,301.96         
10/26/17,19.99         
10/26/17,6.16         
4/5/16,158.368         
9/17/16,20.1         
9/17/16,73.584         
9/17/16,6.48         
1/31/15,12.96         
1/31/15,53.34         
1/31/15,32.96         
11/6/17,5.682         
11/9/17,96.53         
6/17/17,51.312         
9/6/16,77.88         
8/29/16,64.624         
8/29/16,95.976         
8/29/16,1.788         
12/1/16,23.92         
11/13/15,238.896         
11/13/15,102.36         
11/13/15,36.882         
11/23/17,74.112         
11/23/17,27.992         
11/23/17,3.304         
10/15/15,339.96         
12/25/17,41.96         
11/3/16,75.96         
11/3/16,27.24         
8/25/14,40.096         
8/25/14,4.72         
8/25/14,23.976         
8/25/14,130.464         
3/2/15,787.53         
4/5/15,157.794         
6/12/16,47.04         
6/12/16,30.84         
6/12/16,226.56         
6/12/16,115.02         
6/12/16,68.04         
12/26/14,600.558         
9/20/14,617.7         
11/5/17,2.388         
11/5/17,243.992         
11/6/16,81.424         
11/6/16,238.56         
2/2/17,59.97         
2/2/17,78.304         
2/2/17,21.456         
10/13/16,20.04         
10/13/16,35.44         
10/13/16,11.52         
10/13/16,4.02         
10/13/16,76.176         
10/13/16,65.88         
10/13/16,43.12         
9/5/16,82.8         
9/18/17,8.82         
9/18/17,10.86         
9/18/17,143.7         
12/22/17,839.43         
9/7/15,671.93         
10/22/14,93.888         
12/5/16,384.45         
12/5/16,149.97         
12/5/16,1951.84         
12/5/16,171.55         
3/13/16,157.92         
3/13/16,203.184         
5/31/15,58.38         
5/31/15,105.52         
5/31/15,80.88         
5/28/15,6.63         
3/1/14,457.568         
11/20/16,14.62         
11/20/16,944.93         
5/11/16,5.98         
12/28/15,54.384         
11/16/16,28.4         
11/7/16,27.68         
9/8/14,9.936         
9/8/14,8159.952         
9/8/14,275.928         
9/8/14,1740.06         
9/8/14,32.064         
9/8/14,177.98         
9/8/14,143.976         
8/5/14,20.94         
8/5/14,110.96         
8/5/14,340.144         
9/14/14,52.448         
9/14/14,20.16         
4/21/17,97.264         
11/21/15,396.802         
11/21/15,15.88         
12/15/15,3.28         
12/5/14,24.816         
12/5/14,408.744         
11/19/14,503.96         
11/19/14,149.95         
11/19/14,29         
11/28/16,7.16         
8/26/14,176.8         
7/16/16,37.224         
7/16/16,20.016         
10/12/15,899.136         
10/12/15,71.76         
10/12/15,51.84         
10/12/15,626.352         
10/12/15,19.9         
10/31/15,14.28         
3/21/14,7.408         
3/21/14,6.048         
11/6/17,46.26         
7/6/17,2.946         
7/6/17,16.056         
6/24/17,21.744         
8/3/14,218.75         
8/3/14,2.6         
12/17/17,66.284         
6/3/17,35.168         
12/9/17,444.768         
12/1/17,83.92         
12/1/17,131.98         
12/1/17,15.92         
12/1/17,52.29         
12/1/17,91.99         
2/9/15,20.8         
1/2/15,23.68         
1/2/15,452.45         
1/2/15,62.982         
1/2/15,1188         
1/2/15,89.584         
10/28/16,93.06         
10/28/16,302.376         
12/24/15,5.584         
12/24/15,22.704         
12/24/15,19.776         
12/24/15,72.704         
12/24/15,479.988         
12/24/15,27.168         
8/9/15,2.2         
8/9/15,622.45         
8/9/15,21.98         
2/28/15,161.568         
2/28/15,389.696         
9/13/14,18.648         
4/7/17,233.86         
4/7/17,620.6145         
4/7/17,5.328         
4/7/17,258.072         
4/7/17,617.976         
11/12/17,10.56         
6/4/16,25.92         
6/4/16,419.68         
6/4/16,11.688         
6/4/16,31.984         
6/4/16,177.225         
6/4/16,4.044         
6/4/16,7.408         
6/1/14,2001.86         
6/1/14,166.72         
6/1/14,47.88         
6/1/14,1503.25         
6/1/14,25.92         
12/10/16,321.568         
9/11/16,7.61         
9/11/16,3347.37         
12/10/16,80.58         
12/10/16,361.92         
11/28/15,12.132         
11/28/15,82.368         
11/28/15,53.92         
11/28/15,647.904         
12/1/17,20.37         
12/1/17,221.55         
12/1/17,17.52         
6/8/17,1.624         
9/19/14,3059.982         
9/19/14,2519.958         
6/6/16,328.224         
11/10/15,79.9         
6/16/17,14.016         
1/22/16,7.56         
12/9/17,37.208         
12/9/17,57.576         
12/28/17,725.84         
7/30/15,209.93         
7/30/15,5.28         
7/30/15,10.92         
9/16/17,8.82         
